ACTS,REG,Scenario,Year,Value
roots,ARG,GDPEndoSSP2_noWaste,2017,424.030792236328
roots,RLAM,GDPEndoSSP2_noWaste,2017,2280.126953125
roots,COL,GDPEndoSSP2_noWaste,2017,1270.37963867188
roots,CAM,GDPEndoSSP2_noWaste,2017,2457.4453125
roots,RUS,GDPEndoSSP2_noWaste,2017,6032.21240234375
roots,AUT,GDPEndoSSP2_noWaste,2017,62.8371162414551
roots,IRL,GDPEndoSSP2_noWaste,2017,64.7406463623047
roots,HUN,GDPEndoSSP2_noWaste,2017,235.195755004883
roots,DEU,GDPEndoSSP2_noWaste,2017,1302.65393066406
roots,FIN,GDPEndoSSP2_noWaste,2017,97.7057342529297
roots,EST,GDPEndoSSP2_noWaste,2017,18.6391162872314
roots,DNK,GDPEndoSSP2_noWaste,2017,358.522613525391
roots,CZE,GDPEndoSSP2_noWaste,2017,97.9956359863281
roots,RESTEU,GDPEndoSSP2_noWaste,2017,190.327285766602
roots,ITA,GDPEndoSSP2_noWaste,2017,596.818054199219
roots,BEL,GDPEndoSSP2_noWaste,2017,186.09538269043
roots,GRC,GDPEndoSSP2_noWaste,2017,305.0537109375
roots,BGR,GDPEndoSSP2_noWaste,2017,22.4071197509766
roots,ROU,GDPEndoSSP2_noWaste,2017,1366.9853515625
roots,LVA,GDPEndoSSP2_noWaste,2017,28.9158134460449
roots,ESP,GDPEndoSSP2_noWaste,2017,278.370452880859
roots,FRA,GDPEndoSSP2_noWaste,2017,2020.21789550781
roots,SVK,GDPEndoSSP2_noWaste,2017,21.1824207305908
roots,SWE,GDPEndoSSP2_noWaste,2017,154.970550537109
roots,PRT,GDPEndoSSP2_noWaste,2017,140.555130004883
roots,POL,GDPEndoSSP2_noWaste,2017,548.209045410156
roots,NLD,GDPEndoSSP2_noWaste,2017,941.887390136719
roots,LTU,GDPEndoSSP2_noWaste,2017,5.57618570327759
roots,SVN,GDPEndoSSP2_noWaste,2017,19.7053241729736
roots,AFR,GDPEndoSSP2_noWaste,2017,40024.53515625
roots,TUR,GDPEndoSSP2_noWaste,2017,1387.390625
roots,ZAF,GDPEndoSSP2_noWaste,2017,259.746978759766
roots,COCOA,GDPEndoSSP2_noWaste,2017,20907.7109375
roots,EAS,GDPEndoSSP2_noWaste,2017,10499.2060546875
roots,ME,GDPEndoSSP2_noWaste,2017,4228.65185546875
roots,STAN,GDPEndoSSP2_noWaste,2017,2502.59985351563
roots,CHN,GDPEndoSSP2_noWaste,2017,54987.66796875
roots,IND,GDPEndoSSP2_noWaste,2017,10595.7734375
roots,JPN,GDPEndoSSP2_noWaste,2017,4383.36767578125
roots,IDN,GDPEndoSSP2_noWaste,2017,6438.72509765625
roots,MYS,GDPEndoSSP2_noWaste,2017,29.3472213745117
roots,OCE,GDPEndoSSP2_noWaste,2017,633.479614257813
roots,GBR,GDPEndoSSP2_noWaste,2017,1151.95764160156
roots,CHE,GDPEndoSSP2_noWaste,2017,229.715469360352
roots,REUR,GDPEndoSSP2_noWaste,2017,4067.47680664063
roots,NOR,GDPEndoSSP2_noWaste,2017,229.312454223633
roots,NAF,GDPEndoSSP2_noWaste,2017,3086.95288085938
roots,KOR,GDPEndoSSP2_noWaste,2017,259.821411132813
pulses,CAN,GDPEndoSSP2_noWaste,2017,3825.72924804688
pulses,USA,GDPEndoSSP2_noWaste,2017,2534.90185546875
pulses,BRA,GDPEndoSSP2_noWaste,2017,1950.73510742188
pulses,MEX,GDPEndoSSP2_noWaste,2017,430.472991943359
pulses,ARG,GDPEndoSSP2_noWaste,2017,510.897277832031
pulses,RLAM,GDPEndoSSP2_noWaste,2017,292.682830810547
pulses,COL,GDPEndoSSP2_noWaste,2017,172.134887695313
pulses,CAM,GDPEndoSSP2_noWaste,2017,854.814392089844
pulses,RUS,GDPEndoSSP2_noWaste,2017,801.390258789063
pulses,AUT,GDPEndoSSP2_noWaste,2017,6.41503953933716
pulses,IRL,GDPEndoSSP2_noWaste,2017,7.96810531616211
pulses,HUN,GDPEndoSSP2_noWaste,2017,67.0254516601563
pulses,DEU,GDPEndoSSP2_noWaste,2017,107.28296661377
pulses,FIN,GDPEndoSSP2_noWaste,2017,5.40278434753418
pulses,EST,GDPEndoSSP2_noWaste,2017,12.70960521698
pulses,DNK,GDPEndoSSP2_noWaste,2017,18.7305603027344
pulses,CZE,GDPEndoSSP2_noWaste,2017,15.4490690231323
pulses,RESTEU,GDPEndoSSP2_noWaste,2017,15.1740570068359
pulses,ITA,GDPEndoSSP2_noWaste,2017,98.872200012207
pulses,BEL,GDPEndoSSP2_noWaste,2017,32.2379722595215
pulses,GRC,GDPEndoSSP2_noWaste,2017,78.0745544433594
pulses,BGR,GDPEndoSSP2_noWaste,2017,41.6690063476563
pulses,ROU,GDPEndoSSP2_noWaste,2017,208.95002746582
pulses,LVA,GDPEndoSSP2_noWaste,2017,3.09559082984924
pulses,ESP,GDPEndoSSP2_noWaste,2017,81.7459487915039
pulses,FRA,GDPEndoSSP2_noWaste,2017,273.346832275391
pulses,SVK,GDPEndoSSP2_noWaste,2017,6.95355367660523
pulses,SWE,GDPEndoSSP2_noWaste,2017,28.7030963897705
pulses,PRT,GDPEndoSSP2_noWaste,2017,84.7064743041992
pulses,POL,GDPEndoSSP2_noWaste,2017,180.146347045898
pulses,NLD,GDPEndoSSP2_noWaste,2017,113.381820678711
pulses,LTU,GDPEndoSSP2_noWaste,2017,39.9923629760742
pulses,SVN,GDPEndoSSP2_noWaste,2017,1.95814311504364
pulses,AFR,GDPEndoSSP2_noWaste,2017,8800.31640625
pulses,TUR,GDPEndoSSP2_noWaste,2017,814.335632324219
pulses,ZAF,GDPEndoSSP2_noWaste,2017,61.6701889038086
pulses,COCOA,GDPEndoSSP2_noWaste,2017,1176.13525390625
pulses,EAS,GDPEndoSSP2_noWaste,2017,4220.8359375
pulses,ME,GDPEndoSSP2_noWaste,2017,1829.10791015625
pulses,STAN,GDPEndoSSP2_noWaste,2017,287.222595214844
pulses,CHN,GDPEndoSSP2_noWaste,2017,3781.54077148438
pulses,IND,GDPEndoSSP2_noWaste,2017,10911.4228515625
pulses,JPN,GDPEndoSSP2_noWaste,2017,172.800308227539
pulses,IDN,GDPEndoSSP2_noWaste,2017,77.0102844238281
pulses,MYS,GDPEndoSSP2_noWaste,2017,18.6898288726807
pulses,OCE,GDPEndoSSP2_noWaste,2017,2686.3671875
