Region,Scenario,Sector,outcome,value,adm0_iso
Italy,Pollination_20perc,Coal & consumable fuels,abs_change,-21.113258044148,ITA
Italy,Pollination_20perc,Coal & consumable fuels,pct_change,-3e-4,ITA
Italy,Pollination_100pc,Electricity,abs_change,188.62950512045,ITA
Italy,Pollination_100pc,Electricity,pct_change,0.0019,ITA
Italy,Pollination_20perc,Electricity,abs_change,29.2968840587127,ITA
Italy,Pollination_20perc,Electricity,pct_change,3e-4,ITA
Italy,Pollination_100pc,Fertilizers,abs_change,16.7003819060789,ITA
Italy,Pollination_100pc,Fertilizers,pct_change,0.0337,ITA
Italy,Pollination_20perc,Fertilizers,abs_change,2.93231686218115,ITA
Italy,Pollination_20perc,Fertilizers,pct_change,0.0059,ITA
Italy,Pollination_100pc,Food services,abs_change,-781.874599532689,ITA
Italy,Pollination_100pc,Food services,pct_change,-0.0011,ITA
Italy,Pollination_20perc,Food services,abs_change,-131.821413083816,ITA
Italy,Pollination_20perc,Food services,pct_change,-2e-4,ITA
Italy,Pollination_100pc,Forest products,abs_change,193.376017291579,ITA
Italy,Pollination_100pc,Forest products,pct_change,0.0027,ITA
Italy,Pollination_20perc,Forest products,abs_change,32.5350166850839,ITA
Italy,Pollination_20perc,Forest products,pct_change,5e-4,ITA
Italy,Pollination_100pc,Industrials,abs_change,4692.85629166639,ITA
Italy,Pollination_100pc,Industrials,pct_change,0.0045,ITA
Italy,Pollination_20perc,Industrials,abs_change,792.803394487593,ITA
Italy,Pollination_20perc,Industrials,pct_change,8e-4,ITA
Italy,Pollination_100pc,Industrials/Transport,abs_change,248.552047627337,ITA
Italy,Pollination_100pc,Industrials/Transport,pct_change,0.001,ITA
Italy,Pollination_20perc,Industrials/Transport,abs_change,35.0276691110921,ITA
Italy,Pollination_20perc,Industrials/Transport,pct_change,1e-4,ITA
Italy,Pollination_100pc,Oil & Gas,abs_change,34.4609657435394,ITA
Italy,Pollination_100pc,Oil & Gas,pct_change,0.0022,ITA
Italy,Pollination_20perc,Oil & Gas,abs_change,6.02783376658771,ITA
Italy,Pollination_20perc,Oil & Gas,pct_change,4e-4,ITA
Italy,Pollination_100pc,Processed/packaged food and meats,abs_change,-4415.33490985762,ITA
Italy,Pollination_100pc,Processed/packaged food and meats,pct_change,-0.0309,ITA
Italy,Pollination_20perc,Processed/packaged food and meats,abs_change,-845.007167553965,ITA
Italy,Pollination_20perc,Processed/packaged food and meats,pct_change,-0.0059,ITA
Italy,Pollination_100pc,Services,abs_change,-3350.92317064735,ITA
Italy,Pollination_100pc,Services,pct_change,-0.0021,ITA
Italy,Pollination_20perc,Services,abs_change,-562.246883610263,ITA
Italy,Pollination_20perc,Services,pct_change,-4e-4,ITA
Portugal,Pollination_100pc,Agricultural products,abs_change,-600.191393797304,PRT
Portugal,Pollination_100pc,Agricultural products,pct_change,-0.066,PRT
Portugal,Pollination_20perc,Agricultural products,abs_change,-112.339640585554,PRT
Portugal,Pollination_20perc,Agricultural products,pct_change,-0.0124,PRT
Portugal,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,298.749357825383,PRT
Portugal,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0202,PRT
Portugal,Pollination_20perc,"Apparel, accessories & luxury goods",abs_change,52.1861536032756,PRT
Portugal,Pollination_20perc,"Apparel, accessories & luxury goods",pct_change,0.0035,PRT
Portugal,Pollination_100pc,Beverages and tobacco products,abs_change,-228.552412362881,PRT
Portugal,Pollination_100pc,Beverages and tobacco products,pct_change,-0.0391,PRT
Portugal,Pollination_20perc,Beverages and tobacco products,abs_change,-38.1842998962702,PRT
Portugal,Pollination_20perc,Beverages and tobacco products,pct_change,-0.0065,PRT
Portugal,Pollination_100pc,Coal & consumable fuels,abs_change,-86.984543301216,PRT
Portugal,Pollination_100pc,Coal & consumable fuels,pct_change,-0.0065,PRT
Portugal,Pollination_20perc,Coal & consumable fuels,abs_change,-19.5839017303769,PRT
Portugal,Pollination_20perc,Coal & consumable fuels,pct_change,-0.0015,PRT
Portugal,Pollination_100pc,Electricity,abs_change,39.464367139948,PRT
Portugal,Pollination_100pc,Electricity,pct_change,0.0026,PRT
Portugal,Pollination_20perc,Electricity,abs_change,6.58443713228371,PRT
Portugal,Pollination_20perc,Electricity,pct_change,4e-4,PRT
